# ---------------------------------- WARNING ----------------------------------------,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,
# for any damages resulting from its use.,,,,,,,
#,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,
#,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,
#,,,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,,,
# retrieved: 2020-02-12 03:23:56 EST       (nadww01),,,,,,,
#,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,
#    USGS 01632900 SMITH CREEK NEAR NEW MARKET, VA,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,
#,,,,,,,
# Data provided for site 01632900,,,,,,,
#            TS   parameter     Description,,,,,,,
#        146482       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius,,,,
#        146484       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), [YSI 6136]
#        146485       00300     Dissolved oxygen, water, unfiltered, milligrams per liter,,,,
#        217800       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), [YSI EXO]
#,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,
#        ,,,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,,,
# ,,,,,,,
"agency_cd	site_no	datetime	tz_cd	146482_00095	146482_00095_cd	146484_63680	146484_63680_cd	146485_00300	146485_00300_cd",,,,,,,
"USGS	01632900	2017-01-27 06:15	EST	472	A	8.0	A	10.5	A",,,,,,,
"USGS	01632900	2017-01-27 06:30	EST	473	A	8.8	A	10.5	A",,,,,,,
"USGS	01632900	2017-01-27 06:45	EST	473	A			10.5	A",,,,,,,
"USGS	01632900	2017-01-27 07:00	EST	473	A	6.3	A	10.5	A",,,,,,,
"USGS	01632900	2017-01-27 07:15	EST	474	A	6.1	A	10.5	A",,,,,,,
"USGS	01632900	2017-01-27 07:30	EST	474	A	6.1	A	10.5	A",,,,,,,
"USGS	01632900	2017-01-27 07:45	EST	474	A	5.9	A	10.5	A",,,,,,,
"USGS	01632900	2017-01-27 08:00	EST	474	A	5.8	A	10.5	A",,,,,,,
"USGS	01632900	2017-01-27 08:15	EST	474	A			10.5	A",,,,,,,
"USGS	01632900	2017-01-27 08:30	EST	475	A	5.5	A	10.6	A",,,,,,,
"USGS	01632900	2017-01-27 08:45	EST	475	A	6.7	A	10.6	A",,,,,,,
"USGS	01632900	2017-01-27 09:00	EST	475	A	5.4	A	10.6	A",,,,,,,
"USGS	01632900	2017-01-27 09:15	EST	475	A	5.9	A	10.6	A",,,,,,,
"USGS	01632900	2017-01-27 09:30	EST	476	A	5.6	A	10.7	A",,,,,,,
"USGS	01632900	2017-01-27 09:45	EST	476	A	6.8	A	10.8	A",,,,,,,
"USGS	01632900	2017-01-27 10:00	EST	476	A	5.5	A	10.8	A",,,,,,,
"USGS	01632900	2017-01-27 10:15	EST	476	A	5.3	A	10.9	A",,,,,,,
"USGS	01632900	2017-01-27 10:30	EST	476	A	6.4	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-27 10:45	EST	476	A	4.8	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-27 11:00	EST	476	A	5.3	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-27 11:30	EST	478	A	4.3	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-27 11:45	EST	478	A	4.1	A	11.3	A",,,,,,,
"USGS	01632900	2017-01-27 12:00	EST	478	A	3.7	A	11.3	A",,,,,,,
"USGS	01632900	2017-01-27 12:15	EST	478	A	4.6	A	11.4	A",,,,,,,
"USGS	01632900	2017-01-27 12:30	EST	479	A	4.2	A	11.4	A",,,,,,,
"USGS	01632900	2017-01-27 12:45	EST	478	A	3.8	A	11.5	A",,,,,,,
"USGS	01632900	2017-01-27 13:00	EST	478	A	3.8	A	11.6	A",,,,,,,
"USGS	01632900	2017-01-27 13:15	EST	478	A	3.9	A	11.6	A",,,,,,,
"USGS	01632900	2017-01-27 13:30	EST	479	A	3.5	A	11.7	A",,,,,,,
"USGS	01632900	2017-01-27 13:45	EST	479	A	3.6	A	11.7	A",,,,,,,
"USGS	01632900	2017-01-27 14:00	EST	479	A	3.7	A	11.7	A",,,,,,,
"USGS	01632900	2017-01-27 14:15	EST	479	A	3.8	A	11.8	A",,,,,,,
"USGS	01632900	2017-01-27 14:30	EST	479	A	4.8	A	11.8	A",,,,,,,
"USGS	01632900	2017-01-27 14:45	EST	479	A	4.2	A	11.8	A",,,,,,,
"USGS	01632900	2017-01-27 15:00	EST	479	A	4.5	A	11.8	A",,,,,,,
"USGS	01632900	2017-01-27 15:15	EST	479	A	3.5	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-27 15:30	EST	479	A	5.5	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-27 15:45	EST	479	A	3.4	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-27 16:00	EST	479	A	4.8	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-27 16:15	EST	479	A	3.9	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-27 16:30	EST	480	A	3.8	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-27 16:45	EST	480	A	3.8	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-27 17:00	EST	480	A	3.7	A	11.8	A",,,,,,,
"USGS	01632900	2017-01-27 17:15	EST	480	A	3.6	A	11.8	A",,,,,,,
"USGS	01632900	2017-01-27 17:30	EST	480	A	3.6	A	11.7	A",,,,,,,
"USGS	01632900	2017-01-27 17:45	EST	480	A	3.5	A	11.7	A",,,,,,,
"USGS	01632900	2017-01-27 18:00	EST	480	A	4.1	A	11.6	A",,,,,,,
"USGS	01632900	2017-01-27 18:15	EST	480	A	4.6	A	11.6	A",,,,,,,
"USGS	01632900	2017-01-27 18:30	EST	481	A	4.1	A	11.5	A",,,,,,,
"USGS	01632900	2017-01-27 18:45	EST	481	A			11.5	A",,,,,,,
"USGS	01632900	2017-01-27 19:00	EST	481	A	4.6	A	11.5	A",,,,,,,
"USGS	01632900	2017-01-27 19:15	EST	481	A	4.2	A	11.4	A",,,,,,,
"USGS	01632900	2017-01-27 19:30	EST	481	A	4.0	A	11.4	A",,,,,,,
"USGS	01632900	2017-01-27 19:45	EST	482	A	3.8	A	11.4	A",,,,,,,
"USGS	01632900	2017-01-27 20:00	EST	482	A	4.5	A	11.3	A",,,,,,,
"USGS	01632900	2017-01-27 20:15	EST	482	A	4.0	A	11.3	A",,,,,,,
"USGS	01632900	2017-01-27 20:30	EST	482	A	3.8	A	11.3	A",,,,,,,
"USGS	01632900	2017-01-27 20:45	EST	482	A	4.0	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-27 21:00	EST	482	A	5.0	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-27 21:15	EST	482	A	4.5	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-27 21:30	EST	483	A	4.1	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-27 21:45	EST	483	A	4.3	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-27 22:00	EST	483	A	4.9	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-27 22:15	EST	483	A	4.8	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-27 22:30	EST	484	A	4.4	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-27 22:45	EST	484	A	3.7	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-27 23:00	EST	484	A	3.7	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-27 23:15	EST	484	A	3.7	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-27 23:30	EST	484	A	3.9	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-27 23:45	EST	484	A	3.6	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 00:00	EST	485	A	4.2	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 00:15	EST	485	A	4.9	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 00:30	EST	485	A	4.0	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 00:45	EST	485	A	3.5	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 01:00	EST	485	A	3.7	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 01:15	EST	485	A	3.5	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 01:30	EST	485	A	3.6	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 01:45	EST	485	A	3.7	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 02:00	EST	485	A	3.9	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 02:15	EST	486	A	3.7	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 02:30	EST	486	A	4.3	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 02:45	EST	486	A	3.8	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 03:00	EST	486	A	3.6	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 03:15	EST	486	A	3.7	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 03:30	EST	486	A	3.5	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 03:45	EST	486	A	3.9	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 04:00	EST	486	A	4.2	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 04:15	EST	486	A	4.1	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 04:30	EST	486	A	3.4	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 04:45	EST	486	A	3.7	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 05:00	EST	486	A	3.4	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 05:15	EST	486	A	3.9	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 05:30	EST	486	A	3.4	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 05:45	EST	486	A	4.6	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 06:00	EST	486	A	3.5	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 06:15	EST	486	A	3.6	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 06:30	EST	486	A	3.6	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 06:45	EST	486	A	3.7	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 07:00	EST	486	A	4.3	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 07:15	EST	486	A	3.5	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 07:30	EST	486	A	4.1	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 07:45	EST	486	A	3.3	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-28 08:00	EST	486	A	3.5	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-28 08:15	EST	486	A	3.1	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-28 08:30	EST	486	A	3.3	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-28 08:45	EST	486	A	4.4	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-28 09:00	EST	486	A	3.3	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-28 09:15	EST	486	A	4.0	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-28 09:30	EST	486	A	4.2	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-28 09:45	EST	486	A	3.7	A	11.3	A",,,,,,,
"USGS	01632900	2017-01-28 10:00	EST	486	A	4.0	A	11.4	A",,,,,,,
"USGS	01632900	2017-01-28 10:15	EST	486	A	3.1	A	11.5	A",,,,,,,
"USGS	01632900	2017-01-28 10:30	EST	486	A	3.0	A	11.5	A",,,,,,,
"USGS	01632900	2017-01-28 10:45	EST	486	A	3.0	A	11.6	A",,,,,,,
"USGS	01632900	2017-01-28 11:00	EST	486	A	3.1	A	11.7	A",,,,,,,
"USGS	01632900	2017-01-28 11:15	EST	485	A	3.1	A	11.8	A",,,,,,,
"USGS	01632900	2017-01-28 11:30	EST	485	A	3.1	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-28 11:45	EST	485	A	3.2	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-28 12:00	EST	485	A	3.0	A	12.0	A",,,,,,,
"USGS	01632900	2017-01-28 12:15	EST	485	A	3.3	A	12.0	A",,,,,,,
"USGS	01632900	2017-01-28 12:30	EST	485	A	3.3	A	12.1	A",,,,,,,
"USGS	01632900	2017-01-28 12:45	EST	485	A	2.9	A	12.1	A",,,,,,,
"USGS	01632900	2017-01-28 13:00	EST	485	A	3.0	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-28 13:15	EST	484	A	3.6	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-28 13:30	EST	485	A	3.0	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-28 13:45	EST	484	A	2.9	A	12.3	A",,,,,,,
"USGS	01632900	2017-01-28 14:00	EST	484	A	3.0	A	12.3	A",,,,,,,
"USGS	01632900	2017-01-28 14:15	EST	484	A	3.1	A	12.4	A",,,,,,,
"USGS	01632900	2017-01-28 14:30	EST	484	A	3.2	A	12.4	A",,,,,,,
"USGS	01632900	2017-01-28 14:45	EST	484	A	3.3	A	12.4	A",,,,,,,
"USGS	01632900	2017-01-28 15:00	EST	484	A	3.6	A	12.4	A",,,,,,,
"USGS	01632900	2017-01-28 15:15	EST	484	A	3.3	A	12.4	A",,,,,,,
"USGS	01632900	2017-01-28 15:30	EST	484	A	3.5	A	12.4	A",,,,,,,
"USGS	01632900	2017-01-28 15:45	EST	484	A	3.4	A	12.4	A",,,,,,,
"USGS	01632900	2017-01-28 16:00	EST	484	A	3.4	A	12.4	A",,,,,,,
"USGS	01632900	2017-01-28 16:15	EST	483	A	3.6	A	12.3	A",,,,,,,
"USGS	01632900	2017-01-28 16:30	EST	484	A	3.8	A	12.3	A",,,,,,,
"USGS	01632900	2017-01-28 16:45	EST	484	A	3.6	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-28 17:00	EST	484	A	3.6	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-28 17:15	EST	484	A	3.9	A	12.1	A",,,,,,,
"USGS	01632900	2017-01-28 17:30	EST	484	A	3.8	A	12.1	A",,,,,,,
"USGS	01632900	2017-01-28 17:45	EST	484	A	4.4	A	12.0	A",,,,,,,
"USGS	01632900	2017-01-28 18:00	EST	484	A	3.3	A	12.0	A",,,,,,,
"USGS	01632900	2017-01-28 18:15	EST	484	A	3.5	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-28 18:30	EST	484	A	3.8	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-28 18:45	EST	484	A	4.0	A	11.8	A",,,,,,,
"USGS	01632900	2017-01-28 19:00	EST	484	A	4.0	A	11.8	A",,,,,,,
"USGS	01632900	2017-01-28 19:15	EST	484	A	4.0	A	11.7	A",,,,,,,
"USGS	01632900	2017-01-28 19:30	EST	484	A	4.2	A	11.7	A",,,,,,,
"USGS	01632900	2017-01-28 19:45	EST	484	A	3.9	A	11.6	A",,,,,,,
"USGS	01632900	2017-01-28 20:00	EST	485	A	4.3	A	11.6	A",,,,,,,
"USGS	01632900	2017-01-28 20:15	EST	485	A	3.9	A	11.5	A",,,,,,,
"USGS	01632900	2017-01-28 20:30	EST	485	A	3.9	A	11.5	A",,,,,,,
"USGS	01632900	2017-01-28 20:45	EST	485	A	4.0	A	11.4	A",,,,,,,
"USGS	01632900	2017-01-28 21:00	EST	485	A	4.0	A	11.4	A",,,,,,,
"USGS	01632900	2017-01-28 21:15	EST	485	A	4.2	A	11.4	A",,,,,,,
"USGS	01632900	2017-01-28 21:30	EST	485	A	4.1	A	11.3	A",,,,,,,
"USGS	01632900	2017-01-28 21:45	EST	485	A	4.2	A	11.3	A",,,,,,,
"USGS	01632900	2017-01-28 22:00	EST	485	A	4.1	A	11.3	A",,,,,,,
"USGS	01632900	2017-01-28 22:15	EST	485	A	4.9	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-28 22:30	EST	485	A	4.2	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-28 22:45	EST	485	A	4.3	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-28 23:00	EST	485	A	3.9	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-28 23:15	EST	485	A	4.6	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-28 23:30	EST	485	A	4.5	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-28 23:45	EST	485	A	4.2	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 00:00	EST	485	A	4.6	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 00:15	EST	486	A	6.1	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 00:30	EST	485	A	5.1	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 00:45	EST	486	A	4.3	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 01:00	EST	486	A	4.8	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 01:15	EST	486	A	4.1	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 01:30	EST	486	A	3.9	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 01:45	EST	486	A	4.3	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 02:00	EST	486	A	4.8	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 02:15	EST	486	A	4.5	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 02:30	EST	486	A	4.9	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 02:45	EST	486	A	4.1	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 03:00	EST	486	A	4.1	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 03:15	EST	486	A	4.7	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 03:30	EST	487	A	4.6	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 03:45	EST	486	A	4.1	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 04:00	EST	487	A	5.0	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 04:15	EST	487	A	4.4	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 04:30	EST	487	A	4.7	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 04:45	EST	487	A	4.4	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 05:00	EST	487	A	3.9	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 05:15	EST	488	A	4.2	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 05:30	EST	488	A	3.6	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 05:45	EST	488	A	3.6	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 06:00	EST	488	A	3.8	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 06:15	EST	488	A	3.4	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 06:30	EST	488	A	3.7	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 06:45	EST	488	A	3.7	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 07:00	EST	488	A	3.5	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 07:15	EST	488	A	3.5	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 07:30	EST	488	A	3.4	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 07:45	EST	488	A	3.5	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 08:00	EST	488	A	3.5	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 08:15	EST	488	A	3.5	A	11.0	A",,,,,,,
"USGS	01632900	2017-01-29 08:30	EST	488	A	3.6	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 08:45	EST	488	A	3.7	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 09:00	EST	488	A	3.7	A	11.1	A",,,,,,,
"USGS	01632900	2017-01-29 09:15	EST	488	A	3.9	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-29 09:30	EST	488	A	3.5	A	11.2	A",,,,,,,
"USGS	01632900	2017-01-29 09:45	EST	488	A	3.4	A	11.3	A",,,,,,,
"USGS	01632900	2017-01-29 10:00	EST	488	A	3.6	A	11.3	A",,,,,,,
"USGS	01632900	2017-01-29 10:15	EST	488	A	3.5	A	11.4	A",,,,,,,
"USGS	01632900	2017-01-29 10:30	EST	488	A	3.3	A	11.4	A",,,,,,,
"USGS	01632900	2017-01-29 10:45	EST	488	A	3.1	A	11.5	A",,,,,,,
"USGS	01632900	2017-01-29 11:00	EST	488	A	2.7	A	11.5	A",,,,,,,
"USGS	01632900	2017-01-29 11:15	EST	489	A	2.7	A	11.6	A",,,,,,,
"USGS	01632900	2017-01-29 11:30	EST	489	A	2.9	A	11.7	A",,,,,,,
"USGS	01632900	2017-01-29 11:45	EST	489	A	2.6	A	11.7	A",,,,,,,
"USGS	01632900	2017-01-29 12:00	EST	489	A	5.7	A	11.8	A",,,,,,,
"USGS	01632900	2017-01-29 12:15	EST	489	A	3.1	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-29 12:30	EST	489	A	3.0	A	11.9	A",,,,,,,
"USGS	01632900	2017-01-29 12:45	EST	489	A	3.2	A	12.0	A",,,,,,,
"USGS	01632900	2017-01-29 13:00	EST	489	A	3.6	A	12.0	A",,,,,,,
"USGS	01632900	2017-01-29 13:15	EST	489	A	3.6	A	12.0	A",,,,,,,
"USGS	01632900	2017-01-29 13:30	EST	489	A	4.0	A	12.1	A",,,,,,,
"USGS	01632900	2017-01-29 13:45	EST	489	A	3.4	A	12.1	A",,,,,,,
"USGS	01632900	2017-01-29 14:00	EST	489	A	3.5	A	12.1	A",,,,,,,
"USGS	01632900	2017-01-29 14:15	EST	489	A	3.6	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 14:30	EST	489	A	3.6	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 14:45	EST	489	A	3.7	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 15:00	EST	490	A	3.5	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 15:15	EST	490	A	3.6	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 15:30	EST	490	A	3.3	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 15:45	EST	490	A	3.4	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 16:00	EST	490	A	3.3	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 16:15	EST	491	A	3.0	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 16:30	EST	490	A	3.3	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 16:45	EST	491	A	3.4	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 17:00	EST	491	A	3.4	A	12.2	A",,,,,,,
"USGS	01632900	2017-01-29 17:15	EST	491	A	3.4	A	12.1	A",,,,,,,
"USGS	01632900	2017-01-29 17:30	EST	491	A	3.9	A	12.1	A",,,,,,,
"USGS	01632900	2017-01-29 17:45	EST	491	A	3.1	A	12.1	A",,,,,,,
